transaction_id,sender_address,receiver_address,amount,timestamp,gas_fee,transaction_count,wallet_age,is_fraud
6c3fb2ff-0a61-4b5b-b5f1-ee4aaf63e2fd,0x2df07a2847ae91c538b40c2750295caee5d5157d,0x49164b2f6740c244d8c21b2f6c56713eda9ef980,30.8356,1728495340,0.087848,371,34,1
17da389a-c78f-4e1d-ab55-be119b29e962,0x9007c5e19e8b3775e6223ee1e9c84833adb3af7d,0xa3602ad0e15b56cb1b0daae34ce709a377dfb4dc,19.9874,1732050979,0.033794,470,98,0
c1ae7722-c473-4732-abd8-7fea54a83859,0x5e9a58a8627272b258477bfc9d3627e5412edd56,0x6cdb734fac704e613bf4397a9687ab3183f7c894,82.4467,1718460897,0.054018,60,289,1
15b4a254-0b0b-41c4-8565-cf1a7ec4948d,0x3b3ae9326ddb514535963850c0ed732222b80ef3,0x9db6614e8ccf52ee8c2af72eda1c6592fb2cfe85,45.6559,1739790040,0.02635,18,103,0
855d1ab8-598d-4978-b288-944080390807,0xfaed5c81be2e77189dbaab6a04492e9b01b0dd27,0xfdead9dc6ea4e9f79606685f7ed4aea8cee175fd,23.8492,1731089241,0.079963,385,87,1
e9aa8c66-95ef-4af0-b5ff-8652a38cc447,0x792d91176712b314902abe7fb729e86f28d6eb86,0x2daacd7e5cb888fc70612c2e21619932ebaf195c,90.4388,1741379332,0.063336,27,192,1
3dd66f0c-c741-4dde-a4ed-bf33b09be271,0x0de25fff69061cbbc166ca333117653a804cd3ff,0x5a8be3e95d7f5fd6b4da46f76d7373167b40f6ea,42.5086,1720038710,0.02001,217,194,0
434f8882-1d27-4671-a3ad-1cc261a13c57,0xd4c47d933632c565a411dcf8a5db33ae6488309d,0x1bd2f28d9a594e32c3c2dfe086385c1b65e6e7bb,29.3043,1735971405,0.029252,45,69,0
5672c108-9cfe-496d-8fa6-a597c534c67e,0x9d269fdab8b9410ee8bb6c8836936bede1751095,0x290b551a66a93f39d8aacb2f8a48c852ce8e2748,20.8134,1737880155,0.026746,259,91,0
644a3df9-fde4-4e27-9f21-f8113c481dbb,0x9021af47778d8d7270e346318f6f79e377d3f9ee,0x5af75ed48f611de38f67c41edefbf3da1381b5b1,2.1818,1731978652,0.039803,266,252,0
8da2e217-3f04-446e-ba18-36a610229411,0xf063afeef66b0067227236cb393db786f6c671f8,0x4a8463b9b0143bd3f0f2e4888bc9f0ed83d00343,16.239,1717477950,0.0456,132,45,0
92f3b99a-4a6b-42ab-abbd-b931bb5c5015,0x59544a02abef81f43ec0dfffc87e8bf651d83be4,0x7b7c19d0c5ec2dd32136979a0cd9eb1008afa571,60.8006,1723971334,0.077388,456,51,1
f1066bf5-31ba-4d9e-bce2-564452dbb5e5,0x866baf706d9ccd726e3eb9337a3615911cef1149,0x6511522466651fb6fce569f127a14f37f15603a6,0.8825,1721958781,0.008709,358,197,0
f806d1dd-6003-498b-81b8-57028b43b1d6,0x8c61051ad4f59abb8b3caab974079ff7bd22d6a7,0xb57f966712beab2d2d1e5582ff71cb5a5bf8ea8e,59.102,1713187865,0.034099,358,109,0
f52c339f-f694-4406-9b2a-993c223ab5fb,0xaaa96fdaf72c21b4f1fe6d561a8503550aa1752d,0x616f49347e7af2eed8f637a98d34f4366e3cd84d,94.1762,1723970309,0.028555,117,243,1
e5957ca2-7b19-45ac-a8e6-3ba45b6fb64b,0x851a2d18db5a27fb06f5752e81790b69230e759f,0x958a6701c65064a1eda6a01875e14e9a8070df0f,96.1164,1719121718,0.060581,32,187,1
b30cde9e-f1f4-4e11-995b-c0bec98eee70,0x3bb2fc116e56dd28688cbfbbe90cf0106e5c290b,0x48489b1a5ae92923fa6f30859e42c605c8257e58,19.8611,1714118848,0.068242,489,114,1
d93dfea5-5274-4f4b-92d3-72494a64579f,0xae9584b93e4e6dcf3c467204be6acc0c052e1487,0xc016a5293318bdc4e0c8f4c5b748199cac87d6db,36.4999,1729306519,0.004422,128,228,0
